10,30,80
"[0.45298765 0.81396418 1.18455958 1.72135428 2.59532635 4.1083789
 6.89357247]","[0.45298765 0.81396418 1.18455958 1.72135428 2.59532635 4.1083789
 6.89357247]","[0.45298765 0.81396418 1.18455958 1.72135428 2.59532635 4.1083789
 6.89357247]"
"[ 0.68567739  1.23207957  1.79304162  2.60557589  3.92848809  6.21876225
 10.43464813]","[ 0.68567739  1.23207957  1.79304162  2.60557589  3.92848809  6.21876225
 10.43464813]","[ 0.68567739  1.23207957  1.79304162  2.60557589  3.92848809  6.21876225
 10.43464813]"
"[0.6004246  1.07889059 1.57010617 2.28161507 3.44004473 5.44556069
 9.13726999]","[0.6004246  1.07889059 1.57010617 2.28161507 3.44004473 5.44556069
 9.13726999]","[0.6004246  1.07889059 1.57010617 2.28161507 3.44004473 5.44556069
 9.13726999]"
"[0.51157242 0.91923393 1.33775833 1.94397654 2.93097917 4.63971438
 7.78511623]","[0.51157242 0.91923393 1.33775833 1.94397654 2.93097917 4.63971438
 7.78511623]","[0.51157242 0.91923393 1.33775833 1.94397654 2.93097917 4.63971438
 7.78511623]"
