c,widths_100,widths_80,widths_60
400,451.16334737232665,325.1011801537223,214.96863539551464
450,351.13929469755254,225.27654977937658,120.68702410077961
500,253.310514438645,148.6868875378275,79.76452145004276
550,196.34365618821116,121.82215735678184,67.96722297782162
600,180.38148107756552,113.13818109907754,62.710855994239886
650,174.1244692155114,110.83653469661277,62.79389568547435
700,177.91511040498472,112.18226243684069,62.03278402610822
750,189.48083738559313,118.39406022402301,66.39857032578365
800,213.6477326045103,135.0929308766305,74.89670640069619
850,253.91866739610336,160.7912327059362,91.02309954858984
900,330.6702505246366,204.2049088627598,114.15480059945278
950,430.61326189890445,292.69392025091946,160.54473986191417
1000,530.6159596222649,392.69334934460045,257.9409399453815
1050,630.6254457114305,492.7181847725902,357.9429708278628
